text,label
"I'm an 18 year old gay driving through the back roads of redneck Virginia blasting Cheetah Girls. If that doesn't scream sitcom, what does?",0
""": Why the eggplant emoji doe?""y he say she looked like scream lmao",0
You selfish bitch... I bet you love running.. I sure do.,1
I wake up in the middle of the night and chug the orange juice straight from the bottle. Sorry mom.,0
Dumb bitch,1
I ain't cuffing no bitch that's out here posting sex gif's but maybe I'm just different,1
RT if you listen to these bands &#128522; A7X PTV SWS ATL BVB ADTR BMTH YMAS FOB AA Blink 182 TDG SS FIR MCR Follow me & everyon&#8230;,0
Snapchat me bitches @/jaceyjanette,1
not scanger,0
Jump out 2nd floor window cuz I'm over my side bitch crib and my girl beatin on the door - Josh Shaw,1
"I'm seventeen years old with a government job, ask me if I give two fucks about the next bitch &#128564;",1
RT if no bitches texting u right now,1
A bird pooped on me.,0
"if you give that statement any thought at all you will realize it makes no sense. At all. Please, think abo&#8230;",0
just pulled out his pocket Constitution! Bring it man! just mocked McCain's wacko-birds comment! HaHaHa!!!!! #standtall,0
Tyga makes you think about fucking a bunch of bad bitches J.cole makes you motivated Drake makes you wanna think abou&#8230;,1
I copped a Uzi but I need some bullets for that bitch !,1
Come somebody please get me a PS4? Willing to eat pussy for it if need be.,1
&#8220;: when a ghetto girl tries to read in class pt1 LMAOOO,0
Marcus is in this hoe schleeeeeeeeeeppppppp,1
: Your mind is free and your soul. satan will present to u in his kingdom the things that mock u. Stay strong in Yahshua...,0
"Hold all your ghetto labeled and endorsed vodka brands, you can rum me silly any day. #ShiverMeTimbers",0
"""Bae"" sounds like such a ghetto word. Use something else",0
Pussy niggas don't get no pussy nigga,1
Niggahs actin like they pimps but they pay the bitch &#128514;&#128514;&#128514;&#128514;&#9995;,1
If you a hoe on the internet you a hoe irl,1
Chance is trash,0
WH: Obama won&#8217;t name Holder&#8217;s replacement until you rubes have already cast your midterm ballots - Hot Air,0
yaaas bitch yaas u so hot bitch yaaas,1
to lay up w my bitch,1
It's either your getting pussy Or are one what will it be?,1
is my big long lost brother I swear. I don't know what I'd do without this wetback.,1
! This bitch is RTing hella cheese tweets right after I said I was lactose intolerant!! Why you gotta do that to me?! ;c,1
Don't no nigga want an artificial bitch ... Let me repeat that.... Not one !!!,1
"he was 17 not 16 & he tried to beat up a much weaker ""creepy ass cracker"" that is why he is dead. If Zimmerman was a woman...",1
"Enjoy it,I'm happy for you,but I hate the Yankees,and yes the Sox did choke",0
I can guarantee that 9 out of 10 of y'all's bitches follow me.,1
"I wanted change and excitement and to shoot off in all directions myself, like the colored arrows from a Fourth of July&#8230;",0
"#RebelScience ......is using an ACTUAL WOMAN as a genetic engineering lab for ""all natural clones""..... or something...... #faggot #rome",1
speaking of little bitch you didn't even do all your squats you little bitch kept talking to distract everyone else &#128530; &#128587;&#128064;&#128073;&#128590; icu,1
"Dis nicca went in on dat ""I Keep tryin""",0
""": Smoke wit a bitch in nap and let her play music I bet 100 she turn on boosie or some slow shit &#128530;"" real shit",1
&#8220;: These Niggaz bitches hiding behind gangs they ain't in &#128175; &#128056;&#9749;&#65039;&#8221; &#128588;&#128175;,1
if you don't eat pussy you're childish and immature.,1
Them hoes are clean!,0
my bitch look like a black barbie n nigga imma ken doll breath smellin like filet mignon and menthols..,1
ima get this so every time I throw trash away its where it really belongs,0
"If this ugly to you, you either a gay nigga or a hating ass bitch",1
it ain't nothing to cut that bitch off &#127908;&#127911;,1
Free lee bitch 1&#8419;3&#8419;1&#8419; 4L,1
""": 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",1
I am a celestial body hello,0
Flappy bird instead of studying? Sounds great.&#128527; &#128555;#flappybirdisruiningmylife,0
"LMFAO OH NAH SHE KEEP IT THREE HUNNA"": twitpic a selfie if u a ho",0
karma's a bitch. don't dish what you can't take. &#128583;,1
I bet its higher than that &#8220;Why do you think all women are hoes? Not all of us are hoes.&#8221;,1
I hate when bitches twerk to slow songs !!! &#128530;&#128074;&#128162;,1
Hair pulling during sex is just a way of letting her know that her pussy is good,1
These bitches really be out here on backpage hoe-ing &#128557;&#128557;&#128557; watch yo bitch she could be on there !,1
&#128563; &#128557;&#128557;&#128557; these hoes selfish,1
"Somebody couldve been like ""aye man you dropped your money"" but nooooooo fucking broke faggots selfish bastards i hate yall",1
I hate bitches that fish for compliments,1
5:40 A.M. and still awake! YAY!!! Time to chug coffee and red bull for the foreseeable future and hopefully not pass out behind the wheel!!!,0
"Wow Lmao RT "": bet not ever come to my house again dirty bitch",1
Teachers trying to pronounce ghetto names on the 1st day of school....,0
"Being coons &#8220;: At??? : Y'all are amazing.""&#8221;",0
timbs straight trash though,0
lmaooooo epic bird wins.,0
always down patty never been a pussy &#128572;,1
I gots to be bein colored and all,0
cocky sons of bitches,1
Ive never seen this part of pussy town before... lolololol the end of this song thoo....,1
Ciara not a ghetto name.. Well kinda but it&#8217;s not &#8220;ASHANTI&#8221;,0
go the gulls. First grade should be a cracker. Physical!,0
Its funny how these hoes will be texting yo phone all day and then 3 days later have a boyfriend &#128514;,1
Yeah he definitely wasn't the same guy who fought Lara but he cuts the ring off well which should be a huge boon to Canelo,0
"He never replied to my asking about his calling me a ""redneck""",0
Missouri got them swag fags lmao,1
Bad bitches is the only thing that i like,1
Stop respecting women who admit to having a hoe phase,1
"fuck Brett Farve redneck ass, he stuckup he don't give a damn lol he be on campus acting like he the shit",1
"&#8220;: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me",1
And dis nicca still rapping,1
no bitch,1
&#8220;: we single cuz only hoes are left.. All the good ones taken lmao&#8221;<-ANY FEMALE ON THE TL THATS SINGLE..You a sno-bop&#128514;,1
You tried me hoe. I can sinf,1
You know a bitch is crazy when she smiles and she's upset!,1
Joe young gone shoot that bitch,1
I have such a horrible perspective of time. I think I might be retarded smh,1
True life I'm an emotional clingy bitch,1
No I don't fuck with those hoes ask Paco he does,1
DOMINIQUE Made Larry bird do a 360 lmaooo,0
Early bird catches the worm &#128074;,0
"Spurs bitch that's the team, you dont want no problems",1
Some Douche cubs redneck cubs fan freaked out asking if bites..... No you bloody BERK!!! He's like the&#8230;,0
RT Two stocks to turn trash into cash,0
Omg! The cutest little tinker bell ever &#10084;&#65039;,0
My black queen dreading my hairs.Thank you Most High for this Moor Queen I asked you for.I want to BE BEtter with her,0
lol I already made it. I'm waiting on my brownies to finish &#128526;,0
"Faux Noise pundits don't like duck molester, pro-slavery racist, homophobic teabagger darling Phil Robertson either",1
Kick dem fucc niccas out da spot,1
""": Hell yeah bro! fuck yeah sexy scally lad in hot gear",1
Jindal seemed to be having an out-of-body experience enhanced by special brownies Bj Up and At 'Em #stribpol #mngop,0
Don't block me because you think a post is about you...just ask me. Like a boss. You employee ass bitch.,1
My alarm clock should be $$$ callin lol wake yo ass up and get this money bitch !,1
&#8220;: &#8220;: That pussy so wet she gotta dry outside&#8221;stop telling my business&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,1
pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy,1
I'm sick and TIRED of #faggot #cages trying to see how long before #Moses kills a #Royal.................. #WorldSeries #barrybonds #jokes,1
"No wealth doesn't insulate from being called nigger. But still does improve empirical quality of life outcomes, phenomenally.",1
"Not that I plan on dying soon, but I'm totally going to write Kenobi in as my sole heir. He's the only thing locally (under 94) I can trust",0
It's a bird...It's a plane...It's Jake McGee!,0
You a bitch,1
The AFL now has an American draft system #BearBrother! Couple of Yanks are on the playing lists at so&#8230;,0
young buck wanna eat!!.. dat nigguh like I aint fuckin dis up again,1
Think #windturbines are bad for birds? Compare: via via &#8230;,0
"Big bird holds press conf claims ""he does not care for the letter f""",0
bro this bitch really stood there and was like you gonna give me my penny?,1
New boss said my buttons on my shirt can't be white. So I colored them hoes with a sharpie &#128514; glossy,1
only a ratchet bitch would,1
oh I'll make you some brownies alright;))),0
"Invite me on your show, you lying pussy. RT ""Republicans are afraid of me. They don't want to talk to me."" - &#8230;",1
the type of pipe to put rhianna to sleep excuse me that bitch been on my mind all week,1
Okay okay but. Trans birds,0
"Can't wait for the to sweep the Cardinals tonight on ! No matter how bad the cubs are, we're gonna beat the bird&#8230;",0
"Rewrite, tinker with it's official language regarding same-sex relationships, divorce, remarriage, etc. But nothing is set in stone at all.",0
ill fuck you til you love me faggot,1
I dream about having twin girls a lot yea karma I know it's you bitch,1
Well damn girl you a bad bitch now,1
Miami* Houston has so many trash drivers,0
real nigga shit she wanna be a righteous young rich nigga bitch,1
Fuck you niggah I'm cold & my aunts said no more throwing people in so I'm going to take a shower &#128524;,1
Trending: 2 adult human skulls found in trash in Connecticut,0
"so ur faggot teammate hits someone late like that and U say he's yapping and yelling, u guys def 69 in the room",1
LeBron doesn't turn 30 til december. he made 5 trips faster than kobe shaq mike or bird. he'll be back yal act like hes retirin&#8230;,0
Did la mulatta just refer to herself as a darkie?,1
The Saints are pure trash lol smh,0
My brothers ex was a fat hog man I swear this is the reason why he doesn't have any money or anything right now it's cause of that white hoe,1
""": "": that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul..",1
He said capri-sun and zebra cake&#128514;,0
"GahDamn I got bitches, damn I got bitches, damn I got bitches, wifey, girlfriend, and mistress!!",1
I bought hummus and broccoli. I just need snacks and shit. i need to buy crackers and shit,1
red meat trash,0
As a kid I listened to Nas. He showed me a new perspective coming from the ghetto like me. Same with Pimp C &#128081;&#128081;&#128081;,0
"money can get you good weed, but not always the best of pussy. Sorry my friend (: guess",1
"Yaz bitch yaz,",1
Ima trash in fantasy,0
Mansion Elan tonight bitch! >>>>,1
"hell yea,I'm surrounded by hillbillys an real ass rednecks",1
u a bitch in niggas clothing shut yo ass up &#128514;&#128514;&#128514;&#128514;&#128514;,1
Damn Charlie Wilson is still around?,0
pay back a bitch aint it,1
"Miley Cyrus pussy probably taste like wet dog, she has a negative ass, and the bitch looks like Justin Bieber, she so ove&#8230;",1
""" post a picture of that pussy get 200 likes """,1
Fuck her right in the pussy,1
Just to settle it once and for all: Which came first the Chicken or the Egg? The Egg -- laid by a bird that was not a Chicken,0
Bruised ankle is a bitch,1
Lmaoooo fam I stabbed a person once in COD ghost and he said I stab like a nigger,1
"Poor Henry, he's supporting the right 2/3 of you guys all on his gut! Don't hurt it, Charlie... ()",0
"I'm pretty sure the dmv won't let me take a new pic, but a bitch might accidentally lose my license again where they have to take a new pic",1
Skinny girls be having that gotta go a couple rounds pussy,1
Tell your bitch that I'm that nigga now,1
How u going to talk shit from another state that's dat pussy shit,1
"If she'll tell you she's a ""badd bitch"" then listen. She's bad for your health!",1
""": #hoesaintloyal"" well they're hoes,no one expects them to be loyal",1
""": colored contacts in your eyes? blinders on mine. cause i can't see you at all."" Lmao",0
Ronny kamm is a pussy,1
naah da twitter bird &#128542;,0
Long story lol but I've missed you faggot,1
Me and Bryan still out this bitch,1
&#8220;: my ananconda don't want none unless u clean those shitty buns Hun &#128169;&#128553;&#8221;,1
"I don't care how much pussy I get, I still got to jack my dick...",1
"TV wrestling villains must lie, selectively be a coward, be a bully when they can, gain unfair advantages bitch & moan, & disre&#8230;",1
i made you lunch you fat faggot &#128128;,1
So I took a 1000 pictures with him and he ate all the brownies I made but he's the new homie,0
I be THIIIIIIIS close to going real east side Detroit on they monkey ass. But. I don't.,1
""": We actin like it's the 7th day &#128123;spook",0
"&#8220;: Hoes always say they a ""rider"" bitch stfu and ride this dick&#8221; lmaoooooooooooooooooooo &#128557;",1
I'll give you a baby zebra girl.,0
Let's go for the sweep!! #Yankees #SubwaySeries,0
Cleary dark skinned niggas fuck better than light skinned niggas... The proofs in the bitch face&#128528;&#128528;,1
Bsd bitch make it clap,1
"......monkey look, just like you!",0
Fuckin pussies passed out.,1
"Sweet treat at lunch today - raspberry gelato, gin+juice sorbet & brownie gelato! #GelatoCart Thursday - can't wait ...",0
"Now the title bitch doesn't apply to all women, but all women have a lil bitch in em",1
"Disturbing: feeling pressure from #ISIS fanboys, Al Qaeda fanboys resort to celebrating 9/11 to reclaim their Jihadi bona fides",0
"her face ugly to me, & her nudes were trash.",0
"I'm no pussy, but ur still a dick.",1
quitting showed me who my true friends were and it showed me all the ones who were the two faced bitches :),1
Mom just called me a rude ass hoe #rude,1
"""are we bitches?"" -",1
Hey fans. If anyone is wondering what the yellow tab on the back of the collar for - it's for teams that have won a champion,0
"She like ""bitch you know I got next, yasss""",1
thanks!!! Now go clean that trash can ya lil nasty! Lol,0
henny cups on all that ice bitch i'm froze up,1
Bruh.. Don't do this RT &#8220;: Females swear their best friend is the baddest bitch in the world!&#8221;,1
#inners Still hanging in. #Yankees we need this win. NFL. It's not SUNDAY!!,0
That nigga talkin like a hoe Tell that bitch nigga speak up,1
"""Heard you was talkin trash like I wouldn't find out""",0
You gots da BET and da MSNBC wit dat colored reverend who only listen to coloreds. What else I missing?,1
&#128557;&#128557;&#128557;&#128557;&#128557; I love hood bitches. God help me lmaoooo,1
"Let's play ""What will the ghetto white girl with neck tattoos in front of me buy."" If you answered Cigarillo's...you've seen this episode b4",0
On this day 1941 the #Yankees Joe DiMaggio goes 0 for 3 with a walk vs Cleveland #Indians to end his 56 game hitting streak,0
Charlie Sheen is engaged to a porn star. I can't be the only one thinking she can do a lot better.,0
Not a neanudda bitch,1
"I don't trust nobody.&#128532;&#128076; These bitches fake. &#128073;&#128131; These niggas faker. &#128073;&#128694; So it's not ""fuck y'all"", I'd rather just not fuck wi&#8230;",1
you havent evolved as a human being. Typical meathead redneck. I pity you. You dont know what freedom is about......,0
I could have so many bitches right now... Lately they been loving Flee,1
"""Let's do nips ahoy and spank me maybe""",1
Shut up faggot,1
&#9733; BEST ASIAN MASSAGE ON THE park slope --TOP RATED SPA &#9733; 718-622-0221 - 24,0
The Walking Dead is trash people... That is all. &#128514;,0
Yeah..cause if anyone thinks this clown went to to buy Oreos is as stupid as all of them look,0
Ima side bitch from time to time and I stay in my place,1
How you stay faithful in a room full of hoes? &#128549;,1
I hate the white trash cops who raped and murdered my infant daughters and son.,1
because they're all fucking two years old acting like I won't mind being tagged bitch I will violate you,1
holy fuck yall are little bitches. its like 50 in san antonio stfu,1
"""You took our land so you could make each other retarded in DIAPERS? Sure....use our image....cool...."" #redskins #NFL #concussion #jokes",1
nigga grow some balls and concentrate pussy!!,1
You have my word we will beat those fucking faggots pls,1
pussy nigga it's the same term,1
......Roses&#127801;Are red Violets are blue.. You ain't gonna know when yo bitch tops The Crew &#128175;,1
if u gon be wit ur bae even if he or she cheat just shut the fuck up and take the dick or pussy... after all ain't nothing better then love,1
Any solution to ZOG which doesn't deal with demographics - only laws - is no solution. #NorthwestImperative,0
Penske runs the 22 in NASCAR. It's yellow. There's a sponsor already there. #WouldMakeALottaSense,0
""": Going back to school sucks more dick than the hoes who attend it.""",1
Well i feel like a bitch.. &#128530;,1
He may be the President but that doesn't necessarily mean he's in the sole position of power in regard to making such decisions.,0
"No nigga ever ask before he hit either &#8220;: Body counts don't matter ! YALL treat all bitches the same anyway, st&#8230;",1
"omg! I don't even know where kimlau sq is...I would been like,""look a bird!"" then ran for the hills! Lol",0
Stfu faggot a clip is 4+ holy fucking tittyy shit,1
Basic bitches everywhere,1
"If you feel gotta party every weekend for entertainment, ima just assume you embrace partaking in hoe-like activities",1
I went to college Every college got a bird class where u can get ya friend to sign u in & get an A out the class Rashad &#8230;,0
Ay cuh its HOT AF . Im finna go buy yo bitch some ice cream . Lol,1
bitches and subtweets lml,1
Full retard: NAR blaming slow April sales on winter weather.,1
That son of a bitch moment when you're walking around the house with socks on and step on a random wet spot...,1
I feel like no matter how much of a hoe she is if the right nigga put her in her place she gone change .,1
"' And you know that I believe it , cause her pussy to mee... &#1041185;&#1041240; And she don't fuck with many niggahs , she don't fuck with any niggahs &#1041219; .",1
according to you my place is in kitchen. Excuse me while I take out the trash,0
Offensive line is trash,0
10 brownie points for you,0
"poor coon.......snow stopped here,now if the wind would it might be nice out,well for winter",0
shout out to the bitches who like gum i be chewing that shit,1
What a fucking retard,1
""": Chase money &#128176; not &#128581; hoes &#128111; &#128175;&#128175;""&#58399;&#58399;&#58399;&#58399;",1
Stupid white people making my posts relevant to they own life #stupid #cousintoucher #honkie #whitetrash #blonde,1
"All three of these hoes getting cute for fucking school, taking for ever and waking me the fuck up ! This why I can't stand h&#8230;",1
Oreo Cheesecake,0
The heat will make you wanna put hands on a niggah &#128166;&#127386;&#128544;&#128072;,1
Hoes gone be hoes.&#128581;and these hoes can't be trusted &#9994;,1
People who play #fantasygames are white trash,1
I'm sorry but some people's names are just fuckin stupid Some parents should get a flyin bitch slap for naming kids like &#8230;,1
Really bitch? No.,1
#BlessJesus Amos 5:10 There are those who hate the one who upholds justice in court and detest the one who tells the truth.,0
""": Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0
your pet zebra. stripey?,0
"I seen what you look like ,not impressed.dont talk shit you dirt looking bitch",1
A woman's revenge To a man is being a hoe,1
The only exception with the baby momma is she not stuck on you and ghetto bitch that I will stomp her ass like an African ritual,1
Do you really believe people evolved from apes? &#8212; Not really. I'm quiet convinced with the evolution of man but ...,0
bitch ya mom take it in the ass for the light bill bitch &#128514;,1
why were there penguins and a bird in the puppy bowl???,0
I am what u said I am but am ain't no bitch,1
Texas ranchers: Terrorists reportedly caught at border; feds clam up,0
"Rick Scott takes 49% of vote, Charlie Crist takes 46%. Scott wins second term: #sayfie #FlaPol",0
""": Rihanna is a talented hoe""",1
"Crying to the G20 that some Americans don't like you & 'might' call you names, we call that being a crybaby bitch; 0bama.",1
Flappy bird is gonna be the death of me,0
Lmao. it bel ike that nowadays,0
Im in mickey ds and he gone ask for a double cheese burger wit no cheese!!! #FOH,0
u call ur bestie a bitch I'm guessing she's a dog that barks too much,1
s/o #NF thanks for the follow Hun!! &#128536;&#128536;,0
we don't love these hoes,1
I don't care about bitches. Hoes be into it with they damn self&#128553;&#128175;,1
Wuw. Am not wun uv ur hoes dnt send mi pics,1
lol u knw dem project bitches be having dem light brown roaches we call dem water bugs &#128514;&#128514;,1
Cant handle this bitch and her elbow fat,1
nigga stop hatin bitches be feelin coolio b. N two if u think dem bitch made niggas got yo back u smokin big worm shit,1
"If she doesn't know what ""dab"" means...Fuck that bitch",1
Oh it's coon bike week in Charlotte ok makes sense now,0
A random am scroll lands me here...RT Charlie horses durin sex just simply means you didn't drink enough water that day,0
bitches be brilliant..haha,1
Y'all can have Skylar Diggins. looks like a tranny to me,1
Just need a bad bitch thats gone always hold me down,1
Don't lose sleep bout these bitches bc they come and go &#128076;,1
Have heard hillbilly grousings that bugs much worse in the KV since MIC shut down.,0
Sinai Jihadi Group Beheads 3 Accused of Being 'Spies of the Jews' via,0
"girls, don't let a guy treat you like a yellow starburst u are a pink starburst",0
alright bitch I hope someone deletes your life suck 30 dicks and get hit by 2 buses,1
"i'm not a trash talker, brah. i'm polite and diplomatic on and off the court.",0
puppets like Don will intentionally and forever cripple our people's ability to unify a Eco and political consensus,0
Pretty bitches with even prettier titties &#9786;&#65039;,1
"Charlie Rose: Can you coexist with Israel? Meshal: *Not* as occupiers. After that, national consensus will decide, not Ha&#8230;",0
my luck the bitch gonna drug me an I won't even kno what happened lmao,1
IYCMI. I can't get any work done if you keep showin off your bitches.,1
Didn't know Alberta had Brampton bitches #flourish,1
Charlie Sheen SLAMS Rihanna For Rejecting His Fiancee: You&#8217;re A Rude &#8220;Idiot&#8221; With Bad Wig,0
That was my faggot rant for the night.,1
These bitches funny like mike epps,1
#WeAreRepublicNotRegime #POTUS BO violated USA sovereignty w/open border/Jihadis/criminal/diseased/Haitians/S.Americans #ImpeachObama,0
Lmaooo naw man RT Yo want in U serious bro?? lol RT 2-3:10am early bird special,0
Versace belts and LV wallets just won't cut it. Need to really show his ass up.. Little bitch,1
#cheese #crackers #lacking,0
Kim Kardashian look like a tranny with all that surgery,1
"If your a nigga ... And you use the term "" yassssssssss "" im just gonna assume your a fag",1
Grade A pussy.,1
Pierce would've easily drained all these shots with us. He's so trash now smh,0
' It's just me ? Or do you NOT want nobody else Texting/Inboxing/Kiking/DMing/Snapchatting/Emailing/ Yo girl or niggah ?,1
&#128514;&#128514;&#128514;&#128514;&#128514;&#128513;&#128513;&#128513;&#128513;&#128588;&#128588; Watching a bird poop on your car after you just got it washed,0
"French word for potato translates as ""earth apple."" Banana is ""long yellow tree apple."" Submarines are ""big wet hollow kaboom apple.""",0
I love my big booty bitches!,1
Tell me that that pussy is mineeeee,1
I think you a fat bitch if I never see Ya body on the TL and you got nothing but neck up avi's,1
